Phytochemical,Plant,CID,SMILES,Database,Target_Name,Gene_Symbol,UniProt_ID,ChEMBL_ID,Target_Class,Target_Key,Probability,P_Value,Max_Tc,Rank
(+)-Bornyl acetate,Abies alba,6950274.0,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,Glycine receptor subunit alpha-1,,,,DNN(AtomPair),Homo sapiens,0.04,,,71
(+)-Bornyl acetate,Abies alba,6950274.0,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,Serotonin 7 (5-HT7) receptor,,,,DNN(AtomPair),Homo sapiens,0.03,,,72
(+)-Bornyl acetate,Abies alba,6950274.0,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,Aldehyde dehydrogenase 1A1,,,,DNN(AtomPair),Homo sapiens,0.03,,,73
(+)-Bornyl acetate,Abies alba,6950274.0,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,Solute carrier organic anion transporter family member 1B3,,,,Consensus,Homo sapiens,0.82,,,74
(+)-Bornyl acetate,Abies alba,6950274.0,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,Solute carrier organic anion transporter family member 1B1,,,,Consensus,Homo sapiens,0.77,,,75
(+)-Bornyl acetate,Abies alba,6950274.0,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,A2780,,,,Consensus,Homo sapiens,0.27,,,76
(+)-Bornyl acetate,Abies alba,6950274.0,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,Prelamin-A/C,,,,Consensus,Homo sapiens,0.19,,,77
(+)-Bornyl acetate,Abies alba,6950274.0,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,LoVo,,,,Consensus,Homo sapiens,0.17,,,78
(+)-Bornyl acetate,Abies alba,6950274.0,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,Nuclear factor NF-kappa-B p105 subunit,,,,Consensus,Homo sapiens,0.17,,,79
(+)-Bornyl acetate,Abies alba,6950274.0,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,Cytochrome P450 2C19,,,,Consensus,Homo sapiens,0.16,,,80
(+)-Bornyl acetate,Abies alba,6950274.0,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,MAP kinase ERK2,,,,Consensus,Homo sapiens,0.16,,,81
4-Hydroxycinnamic acid,Abrus precatorius,637542.0,OC(=O)/C=C/c1ccc(cc1)O,PPB3,Carbonic anhydrase VII,,,,DNN(ECFP4+MHFP6),Homo sapiens,1.0,,,1
4-Hydroxycinnamic acid,Abrus precatorius,637542.0,OC(=O)/C=C/c1ccc(cc1)O,PPB3,Carbonic anhydrase XIV,,,,DNN(ECFP4+MHFP6),Homo sapiens,0.99,,,2
4-Hydroxycinnamic acid,Abrus precatorius,637542.0,OC(=O)/C=C/c1ccc(cc1)O,PPB3,Carbonic anhydrase VI,,,,DNN(ECFP4+MHFP6),Homo sapiens,0.96,,,3
