"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","16/346","203/9522",0.0788177339901478,2.16908226316239,3.26934734874832,0.00294836545271067,0.00820535668443065,0.00386478887544994,"2353/3725/9170/4790/5781/387/7132/81027/837/842/5599/5601/834/3576/2534/3553",16
"Human Diseases","Cancer: overview","hsa05231","Choline metabolism in cancer","10/346","99/9522",0.101010101010101,2.77982133473463,3.45662319306322,0.0031064813876683,0.00856459821833784,0.00403399452210739,"2353/3725/5159/1956/207/208/10000/5599/5601/5582",10
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","24/346","362/9522",0.0662983425414365,1.82454571583687,3.10580308844956,0.00321700005620535,0.0087871760794498,0.0041388304816677,"2782/54331/9170/4790/1017/1019/2932/5159/6850/1956/3718/4914/1385/3558/3815/5228/7422/207/208/10000/842/5562/10110/4846",24
"Human Diseases","Cardiovascular disease","hsa05415","Diabetic cardiomyopathy","16/346","205/9522",0.0780487804878049,2.1479204849852,3.22628937858555,0.00325017174993093,0.00879633638742775,0.00414314506026927,"4313/4318/4790/2932/1636/207/208/10000/817/5599/5601/5465/5582/5972/2673/4846",16
"Organismal Systems","Immune system","hsa04664","Fc epsilon RI signaling pathway","8/346","69/9522",0.115942028985507,3.19075144508671,3.54638150021358,0.00339042655211242,0.00909250757157422,0.00428264406582621,"240/6850/207/208/10000/5599/5601/2534",8
"Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","7/346","56/9522",0.125,3.4400289017341,3.55597225249047,0.00394402818765461,0.0104818767149379,0.00493704808696452,"3303/3329/4790/842/834/3576/3553",7
"Human Diseases","Cancer: overview","hsa05230","Central carbon metabolism in cancer","8/346","71/9522",0.112676056338028,3.1008711226899,3.4501846119921,0.0040521867808105,0.0106731705387419,0.00502714901378746,"5159/1956/4914/3815/207/208/10000/8140",8
"Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","15/346","193/9522",0.077720207253886,2.13887807361706,3.10378027805358,0.00448840211744589,0.0117175099526242,0.00551904126225298,"6387/2782/54331/4790/387/6772/2932/3718/2870/111/207/208/10000/2931/3576",15
"Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","18/346","251/9522",0.0717131474103586,1.97356239780761,3.03521871500411,0.00458807701087527,0.011872655422879,0.00559211602433551,"2353/3725/4790/387/54106/7132/81027/207/208/10000/837/838/5599/5601/834/3576/3553/23643",18
"Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","10/346","105/9522",0.0952380952380952,2.62097440132122,3.24315085486095,0.00475138231410544,0.0121001897509882,0.00569928651964476,"1361/59272/1357/4311/1359/1360/1504/1803/6564/6505",10
"Environmental Information Processing","Signal transduction","hsa04152","AMPK signaling pathway","11/346","122/9522",0.0901639344262295,2.4813323225623,3.19757777950737,0.00476314808306071,0.0121001897509882,0.00569928651964476,"1385/207/208/10000/10645/1080/5468/5562/5565/84335/3156",11
"Organismal Systems","Digestive system","hsa04981","Folate transport and metabolism","5/346","31/9522",0.161290322580645,4.43874696997949,3.72372594284758,0.00479905830801906,0.0121001897509882,0.00569928651964476,"9429/4363/2346/635/9356",5
"Organismal Systems","Nervous system","hsa04727","GABAergic synapse","9/346","89/9522",0.101123595505618,2.78294472949276,3.28141074662954,0.00489477044806412,0.0122369261201603,0.00576369044731903,"18/2782/54331/111/2554/2560/2561/2566/5582",9
"Human Diseases","Infectious disease: viral","hsa05170","Human immunodeficiency virus 1 infection","16/346","214/9522",0.0747663551401869,2.05758738047647,3.03841848054056,0.0049414260263042,0.0122497535946196,0.00576973229077536,"2353/2782/54331/3725/4790/7132/1111/801/207/208/10000/842/3105/5599/5601/5582",16
"Organismal Systems","Endocrine system","hsa04922","Glucagon signaling pathway","10/346","107/9522",0.0934579439252336,2.57198422559559,3.17528374323845,0.0054304076747745,0.0133497522004873,0.00628784046552837,"2033/801/1385/207/208/10000/817/5465/5562/5565",10
"Cellular Processes","Cell growth and death","hsa04215","Apoptosis - multiple species","5/346","32/9522",0.15625,4.30003612716763,3.63089096078954,0.00552176249892517,0.0134621482411812,0.00634077990307196,"7132/842/5599/5601/331",5
